B,n,snr,icc,rho,method,j,sd,bias,mse,coverage,n_rep_used,mean_Nj,min_Nj
5,1000,0.2,0.2,0.6,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.6,naive,2,0.05141464373922514,0.06095675261005949,0.006345973951641279,0.945,200,667.01,623.0
5,1000,0.2,0.2,0.6,naive,3,0.06787905772646724,0.10740763483559991,0.016120928666421484,0.79,200,446.06,401.0
5,1000,0.2,0.2,0.6,naive,4,0.09187449267503707,0.13326865646881267,0.026159252589276368,0.725,200,298.445,261.0
5,1000,0.2,0.2,0.6,naive,5,0.12282176653468513,0.1491407563676845,0.037252725612952224,0.715,200,199.475,164.0
5,1000,0.2,0.2,0.8,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.8,ours,2,0.03152147122531956,0.0026091646732951048,0.0009954428727599767,0.935,200,666.41,591.0
5,1000,0.2,0.2,0.8,ours,3,0.048780642119671626,-0.0003623036543587761,0.0023677845543174057,0.945,200,443.0,390.0
5,1000,0.2,0.2,0.8,ours,4,0.06927031211282432,0.0002461997301069484,0.004774444873814159,0.925,200,296.205,244.0
5,1000,0.2,0.2,0.8,ours,5,0.08977290497991593,-0.00060285200373487,0.008019242026728757,0.945,200,197.08,161.0
5,1000,0.2,0.2,0.8,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.8,naive,2,0.04127256204239835,0.06380163520817198,0.005765555910892553,0.965,200,666.41,591.0
5,1000,0.2,0.2,0.8,naive,3,0.061467954861961195,0.10707109511946897,0.01522363733761991,0.855,200,443.0,390.0
5,1000,0.2,0.2,0.8,naive,4,0.08266684473351536,0.1415685382798422,0.026841289212795303,0.725,200,296.205,244.0
5,1000,0.2,0.2,0.8,naive,5,0.10889307877320635,0.1501914701043092,0.03435589178377779,0.74,200,197.08,161.0
5,1000,0.1,0.2,0.3,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.3,ours,2,0.10918500019812882,0.0021137176523073993,0.011866225249237736,0.955,200,667.705,631.0
5,1000,0.1,0.2,0.3,ours,3,0.14625758034262842,-0.015173593606949778,0.02151456135159087,0.98,200,444.865,402.0
5,1000,0.1,0.2,0.3,ours,4,0.19394985618221774,-0.009437080323873002,0.03751752246457665,0.94,200,296.83,259.0
5,1000,0.1,0.2,0.3,ours,5,0.24365243704443998,-0.013578461456572488,0.05925405214283394,0.935,200,197.165,168.0
5,1000,0.1,0.2,0.3,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.3,naive,2,0.1040671480311436,0.06861586116225987,0.0154839578458778,0.98,200,667.705,631.0
5,1000,0.1,0.2,0.3,naive,3,0.1380581761305101,0.09035731310758528,0.02712920372852274,0.96,200,444.865,402.0
5,1000,0.1,0.2,0.3,naive,4,0.17306430563670713,0.126675426059661,0.04584816118348465,0.925,200,296.83,259.0
5,1000,0.1,0.2,0.3,naive,5,0.23298934353479564,0.14688541399628902,0.07558793887463236,0.895,200,197.165,168.0
5,1000,0.1,0.2,0.6,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.6,ours,2,0.08150724559305994,0.010344312515357706,0.00671721873016194,0.955,200,666.08,628.0
5,1000,0.1,0.2,0.6,ours,3,0.12901469472762747,0.010318952052811263,0.01666804826985281,0.95,200,444.255,404.0
5,1000,0.1,0.2,0.6,ours,4,0.16986177150005577,0.024096998672014792,0.02928942165505055,0.94,200,295.665,249.0
5,1000,0.1,0.2,0.6,ours,5,0.19797201673754797,0.0237479850415707,0.039560921607610974,0.965,200,196.84,166.0
5,1000,0.1,0.2,0.6,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.6,naive,2,0.09736854609365071,0.06915866030108407,0.014216150894190167,0.985,200,666.08,628.0
5,1000,0.1,0.2,0.6,naive,3,0.13731151439524622,0.11824183933746152,0.032741312295494394,0.945,200,444.255,404.0
5,1000,0.1,0.2,0.6,naive,4,0.1757180747554028,0.1524221923704333,0.05395498231377597,0.915,200,295.665,249.0
5,1000,0.1,0.2,0.6,naive,5,0.19814146145146072,0.16762119055735483,0.06716060207625515,0.92,200,196.84,166.0
5,1000,0.1,0.2,0.8,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.8,ours,2,0.06471796346231211,-0.001483206094343832,0.0041696726210539185,0.95,200,667.38,626.0
5,1000,0.1,0.2,0.8,ours,3,0.09365570901816916,0.004068796849727944,0.008744089980341846,0.965,200,444.715,405.0
5,1000,0.1,0.2,0.8,ours,4,0.12323623080976477,-0.002673442347666104,0.015118380035262923,0.96,200,296.325,258.0
5,1000,0.1,0.2,0.8,ours,5,0.15868919195027115,-0.010426756719856623,0.02516506559931593,0.96,200,197.41,169.0
5,1000,0.1,0.2,0.8,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.8,naive,2,0.09304873582968855,0.0623668221989846,0.012504397414505406,0.99,200,667.38,626.0
5,1000,0.1,0.2,0.8,naive,3,0.12174126758291617,0.0975829947062245,0.02426927240736676,0.965,200,444.715,405.0
5,1000,0.1,0.2,0.8,naive,4,0.1654977283396337,0.1347974558866466,0.04542290470866373,0.91,200,296.325,258.0
5,1000,0.1,0.2,0.8,naive,5,0.20512574992638677,0.12809233144578136,0.058273835791664175,0.94,200,197.41,169.0
30,1000,0.3,0.2,0.3,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
30,1000,0.3,0.2,0.3,ours,2,0.06607034110211658,0.0030468104736064462,0.004352746577545363,0.955,200,934.75,915.0
30,1000,0.3,0.2,0.3,ours,3,0.07510906463826524,0.00630437790803596,0.005652909913688261,0.97,200,873.84,849.0
30,1000,0.3,0.2,0.3,ours,4,0.08562363284453346,0.00940809063403089,0.007383261638366129,0.935,200,818.5,790.0
30,1000,0.3,0.2,0.3,ours,5,0.08710699157290186,0.00888804819728717,0.007628687241734486,0.94,200,765.15,735.0
30,1000,0.3,0.2,0.3,ours,6,0.09521727925436158,0.00585353822633102,0.009055262527027177,0.92,200,715.455,680.0
30,1000,0.3,0.2,0.3,ours,7,0.0918577839013959,0.015090510886163562,0.008623386719764592,0.935,200,668.91,631.0
30,1000,0.3,0.2,0.3,ours,8,0.08751406694450933,0.008077826669410456,0.0076856696373032605,0.97,200,625.795,591.0
30,1000,0.3,0.2,0.3,ours,9,0.09582001451808383,0.013176805348872953,0.009309196005536655,0.955,200,585.16,551.0
30,1000,0.3,0.2,0.3,ours,10,0.09655098924118194,0.00919922524649546,0.009360108800969335,0.94,200,546.345,511.0
30,1000,0.3,0.2,0.3,ours,11,0.10447729968071386,-0.0011677376632238357,0.010862292229080934,0.935,200,510.665,474.0
